epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.623,0.45508,0.8623,2.09972,0.96038,0.85487,0.95272,0.96958,0.92752,0.85487,0.95272,0.96958,0.93007,0.30452,0.51421,0.52863,0.79568,0.0707317,0.00325203,0.00325203
2,962.813,0.46818,0.62799,0.87318,0.9174,0.93494,0.95238,0.97921,0.89388,0.93494,0.95238,0.97921,0.92064,0.42878,0.52716,0.6291,0.82291,0.0406665,0.00652017,0.00652017
3,1470.88,0.55655,0.66063,0.73348,0.94646,0.94694,0.93758,0.97642,0.87764,0.94694,0.93758,0.97642,0.91101,0.48037,0.5584,0.71146,0.90849,0.0105353,0.00972231,0.00972231
4,1955.15,0.62544,0.65892,0.71869,0.98843,0.93655,0.96694,0.995,0.82036,0.93655,0.96694,0.995,0.91388,0.65375,0.5697,0.93171,0.9432,0.009703,0.009703,0.009703
5,2356.71,0.58175,0.68597,0.65006,0.97821,0.89505,0.9255,0.96277,0.80776,0.89505,0.9255,0.96277,0.82648,0.64853,1.79065,0.71426,1.08289,0.009604,0.009604,0.009604
6,2765.41,0.5803,0.65744,0.55822,0.98049,0.89511,0.877,0.9622,0.79978,0.89511,0.877,0.9622,0.86563,0.65603,0.55006,0.82634,0.9434,0.009505,0.009505,0.009505
7,3281.88,0.56984,0.66923,0.51287,0.97891,0.91693,0.95556,0.99229,0.87575,0.91693,0.95556,0.99229,0.9105,0.54676,0.54863,0.3981,0.89744,0.009406,0.009406,0.009406
8,3768.58,0.53967,0.65673,0.51031,0.96745,0.98635,0.96924,0.995,0.88098,0.98635,0.96924,0.995,0.91682,0.52498,0.56409,0.39136,0.86475,0.009307,0.009307,0.009307
9,4237.36,0.55926,0.64499,0.48953,0.97172,0.91968,0.97604,0.995,0.89845,0.91968,0.97604,0.995,0.93411,0.46028,0.58313,0.41928,0.83834,0.009208,0.009208,0.009208
10,4695.61,0.54419,0.66142,0.51164,0.97009,0.86828,0.97619,0.89948,0.82476,0.86828,0.97619,0.89948,0.8212,0.42113,0.7422,0.59429,0.85494,0.009109,0.009109,0.009109
11,5213.91,0.54757,0.64454,0.47763,0.97736,0.99326,0.98613,0.995,0.87177,0.99326,0.98613,0.995,0.95025,0.52286,0.50932,0.38371,0.8875,0.00901,0.00901,0.00901
12,5674.48,0.53919,0.62672,0.46625,0.96456,0.93629,0.9799,0.995,0.91847,0.93629,0.9799,0.995,0.93598,0.415,0.54858,0.32456,0.86391,0.008911,0.008911,0.008911
13,6157.41,0.5255,0.62749,0.47945,0.95579,0.94406,0.89142,0.93144,0.84023,0.94406,0.89142,0.93144,0.89417,0.43188,0.52649,0.41324,0.84157,0.008812,0.008812,0.008812
14,6645.38,0.53304,0.63787,0.4454,0.95877,0.94071,0.97778,0.98583,0.85786,0.94071,0.97778,0.98583,0.90712,0.48835,0.69793,0.4073,0.8816,0.008713,0.008713,0.008713
15,7167.72,0.52062,0.61256,0.45493,0.95512,0.96041,0.99564,0.995,0.90647,0.96041,0.99564,0.995,0.95136,0.40306,0.49824,0.31945,0.83427,0.008614,0.008614,0.008614
16,7665.8,0.52668,0.60422,0.44397,0.96271,0.99218,1,0.995,0.93278,0.99218,1,0.995,0.96753,0.39953,0.49151,0.34315,0.83508,0.008515,0.008515,0.008515
17,8187.15,0.51961,0.62023,0.44473,0.96646,0.99147,1,0.995,0.93024,0.99147,1,0.995,0.94897,0.42159,0.50098,0.27115,0.83365,0.008416,0.008416,0.008416
18,8672.62,0.51037,0.60537,0.40938,0.9591,0.98881,1,0.995,0.934,0.98881,1,0.995,0.94241,0.39006,0.49671,0.3335,0.83218,0.008317,0.008317,0.008317
19,9143.14,0.48501,0.56663,0.39822,0.94382,0.98869,1,0.995,0.93948,0.98869,1,0.995,0.95836,0.42821,0.51553,0.30105,0.85587,0.008218,0.008218,0.008218
20,9607.92,0.49877,0.61526,0.41572,0.95317,0.97748,1,0.995,0.92094,0.97748,1,0.995,0.95147,0.44253,0.49652,0.29308,0.83919,0.008119,0.008119,0.008119
21,10048.5,0.50011,0.60459,0.41341,0.95554,0.99144,1,0.995,0.905,0.99144,1,0.995,0.96701,0.3982,0.50173,0.26273,0.82935,0.00802,0.00802,0.00802
22,10541.9,0.50864,0.59476,0.43153,0.95782,0.90979,0.99029,0.995,0.92382,0.90979,0.99029,0.995,0.95485,0.38396,0.48547,0.35495,0.83318,0.007921,0.007921,0.007921
23,11028.8,0.4858,0.5824,0.40038,0.949,0.99192,1,0.995,0.92663,0.99192,1,0.995,0.97891,0.35172,0.47707,0.25606,0.80599,0.007822,0.007822,0.007822
24,11453.5,0.48622,0.57368,0.3888,0.94372,0.99305,1,0.995,0.93587,0.99305,1,0.995,0.95392,0.36972,0.49764,0.30106,0.84567,0.007723,0.007723,0.007723
